epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.88025,1.8015,3.61724,1.08554,0.00428,0.94706,0.02173,0.01039,1.29546,3.72104,0.94191,0.00030006,0.00030006,0.00030006
2,5.33563,1.56859,2.31954,0.99785,0.00348,0.91148,0.01463,0.00592,1.46488,3.4854,0.98933,0.000604578,0.000604578,0.000604578
3,7.28497,1.46907,1.73477,0.96011,0.00341,0.92353,0.15863,0.08599,1.29284,3.18397,0.96401,0.000896553,0.000896553,0.000896553
4,9.32161,1.47236,1.59139,0.98923,0.00377,0.98824,0.37205,0.25327,1.28886,2.60076,0.9608,0.00117599,0.00117599,0.00117599
5,11.2414,1.44476,1.42833,0.97142,0.94949,0.35805,0.85665,0.52795,1.27011,2.0734,0.96263,0.00144288,0.00144288,0.00144288
6,13.326,1.4154,1.3108,0.95819,0.7704,0.71176,0.84342,0.43692,1.34717,1.65759,0.98353,0.00150197,0.00150197,0.00150197
7,15.3717,1.33299,1.22052,0.94755,0.8892,0.78938,0.86985,0.57672,1.21717,1.3042,0.94113,0.00146896,0.00146896,0.00146896
8,17.3022,1.3297,1.19291,0.95441,0.87009,0.86759,0.89117,0.58127,1.24387,1.02721,0.94457,0.00143595,0.00143595,0.00143595
9,19.2363,1.23571,1.02824,0.9249,0.85241,0.78905,0.86694,0.5869,1.10344,1.16773,0.9089,0.00140295,0.00140295,0.00140295
10,21.1443,1.23275,1.06285,0.93655,0.84136,0.81148,0.86107,0.58084,1.19889,0.99572,0.91566,0.00136994,0.00136994,0.00136994
11,23.1811,1.2496,1.0627,0.93985,0.85288,0.8805,0.89747,0.63102,1.14373,0.81482,0.91657,0.00133693,0.00133693,0.00133693
12,25.3769,1.22413,1.03707,0.92138,0.84832,0.77512,0.89008,0.61227,1.12452,1.01333,0.90689,0.00130393,0.00130393,0.00130393
13,27.6871,1.22559,1.03394,0.92468,0.85997,0.89384,0.89272,0.61575,1.12225,0.81459,0.91585,0.00127092,0.00127092,0.00127092
14,29.9148,1.22397,0.97964,0.91791,0.89545,0.79384,0.90332,0.6302,1.08698,0.89365,0.89705,0.00123791,0.00123791,0.00123791
15,32.2312,1.14601,0.95079,0.90058,0.8467,0.88078,0.90885,0.67484,1.04035,0.82959,0.89483,0.00120491,0.00120491,0.00120491
16,34.3546,1.11605,0.88097,0.88933,0.85428,0.89384,0.91144,0.64284,1.05286,0.83267,0.89137,0.0011719,0.0011719,0.0011719
17,36.2601,1.16795,0.91315,0.91748,0.87892,0.91138,0.90527,0.64589,1.01421,0.87485,0.87899,0.00113889,0.00113889,0.00113889
18,38.2491,1.1053,0.90613,0.91768,0.90714,0.88777,0.91189,0.63221,1.0732,0.97581,0.88991,0.00110589,0.00110589,0.00110589
19,40.3028,1.11412,0.91497,0.90006,0.87354,0.88796,0.91966,0.62385,1.1078,0.79999,0.89408,0.00107288,0.00107288,0.00107288
20,42.3178,1.16124,0.89689,0.92096,0.86411,0.91751,0.92086,0.644,1.01896,0.81726,0.88139,0.00103987,0.00103987,0.00103987
21,44.3922,1.07898,0.87345,0.89712,0.90631,0.87144,0.93555,0.67302,1.04477,0.78523,0.87828,0.00100687,0.00100687,0.00100687
22,46.2723,1.08493,0.83825,0.8828,0.93264,0.83288,0.92003,0.64573,1.0584,0.72854,0.88158,0.000973861,0.000973861,0.000973861
23,48.1304,1.12593,0.85443,0.89123,0.92721,0.85854,0.92339,0.68006,0.96004,0.69436,0.85822,0.000940855,0.000940855,0.000940855
24,50.0719,1.06493,0.78161,0.89796,0.93449,0.80938,0.91713,0.65705,1.02584,0.76377,0.87297,0.000907848,0.000907848,0.000907848
25,51.8804,1.09841,0.77435,0.89841,0.90942,0.86443,0.91707,0.65794,1.00516,0.74272,0.86731,0.000874842,0.000874842,0.000874842
26,53.7944,1.05883,0.76638,0.8833,0.8936,0.88796,0.92077,0.67364,0.98605,0.71494,0.87111,0.000841835,0.000841835,0.000841835
27,55.8379,1.02302,0.7307,0.88309,0.87405,0.91148,0.92105,0.69138,0.92433,0.7122,0.85746,0.000808828,0.000808828,0.000808828
28,57.8088,1.05476,0.74938,0.89185,0.89443,0.89363,0.93839,0.69909,0.9101,0.65821,0.85476,0.000775822,0.000775822,0.000775822
29,59.7533,1.01493,0.73979,0.88342,0.91308,0.87913,0.93398,0.67756,0.98009,0.71687,0.86311,0.000742815,0.000742815,0.000742815
30,61.6491,1.01687,0.715,0.87529,0.90353,0.88796,0.93054,0.71095,0.91452,0.69408,0.85587,0.000709809,0.000709809,0.000709809
31,63.5549,0.9809,0.70972,0.87159,0.92911,0.88207,0.93538,0.6885,0.96271,0.64238,0.86549,0.000676802,0.000676802,0.000676802
32,65.7188,1.00637,0.72628,0.87608,0.91002,0.89384,0.93922,0.7063,0.92847,0.63452,0.85973,0.000643795,0.000643795,0.000643795
33,67.6613,0.97599,0.68764,0.86875,0.93481,0.88928,0.94312,0.69992,0.94657,0.63309,0.86355,0.000610789,0.000610789,0.000610789
34,69.7007,0.95994,0.69963,0.87049,0.91929,0.89378,0.94745,0.69742,0.96004,0.63895,0.86303,0.000577782,0.000577782,0.000577782
35,71.8274,0.9408,0.74454,0.86259,0.91962,0.88796,0.9387,0.7058,0.9439,0.64071,0.85952,0.000544776,0.000544776,0.000544776
36,73.7741,0.94155,0.64691,0.85749,0.93438,0.89972,0.94531,0.72022,0.9209,0.62382,0.86298,0.000511769,0.000511769,0.000511769
37,75.8105,0.90574,0.67492,0.84777,0.92275,0.89384,0.93654,0.72132,0.91295,0.64018,0.86568,0.000478762,0.000478762,0.000478762
38,77.7613,0.9822,0.65822,0.87449,0.91634,0.85854,0.92313,0.70547,0.89024,0.68918,0.85154,0.000445756,0.000445756,0.000445756
39,80.0975,0.94184,0.68808,0.86758,0.91606,0.90541,0.94449,0.71123,0.90996,0.60754,0.85203,0.000412749,0.000412749,0.000412749
40,82.0665,0.96902,0.68349,0.87289,0.94233,0.89972,0.94229,0.70862,0.90456,0.60849,0.85867,0.000379743,0.000379743,0.000379743
41,103.337,0.82221,0.59634,0.85608,0.90184,0.88969,0.92979,0.69168,0.91655,0.6508,0.85543,0.000346736,0.000346736,0.000346736
42,105.295,0.8228,0.60422,0.85152,0.92875,0.89384,0.93821,0.71889,0.86457,0.59745,0.8439,0.000313729,0.000313729,0.000313729
43,107.204,0.78091,0.56025,0.84277,0.94065,0.9056,0.9461,0.72321,0.90654,0.59589,0.85024,0.000280723,0.000280723,0.000280723
44,109.237,0.83531,0.5892,0.85844,0.92217,0.88796,0.93523,0.71223,0.92411,0.63155,0.85131,0.000247716,0.000247716,0.000247716
45,111.085,0.82487,0.57486,0.84412,0.93302,0.8867,0.93713,0.72459,0.88269,0.6045,0.84553,0.00021471,0.00021471,0.00021471
46,113.066,0.78888,0.56679,0.85487,0.9479,0.88207,0.94295,0.73527,0.89322,0.58288,0.8461,0.000181703,0.000181703,0.000181703
47,115.13,0.78503,0.57391,0.8539,0.93871,0.88451,0.94077,0.73656,0.88214,0.59359,0.84744,0.000148696,0.000148696,0.000148696
48,117.015,0.79539,0.55409,0.84667,0.93831,0.89384,0.94299,0.72696,0.87634,0.58049,0.84867,0.00011569,0.00011569,0.00011569
49,118.844,0.77923,0.54211,0.83782,0.93729,0.89384,0.94385,0.73411,0.8669,0.57398,0.84585,8.26832e-05,8.26832e-05,8.26832e-05
50,120.86,0.78657,0.53488,0.82761,0.93946,0.89384,0.94301,0.73283,0.86604,0.57078,0.84449,4.96766e-05,4.96766e-05,4.96766e-05
